"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CCI","AMPLITUD","LTRENDIDX","M","1999-12",101.8931,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2000-01",101.8919,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2000-02",101.717,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2000-03",101.4932,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2000-04",101.3526,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2000-05",101.3111,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2000-06",101.2766,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2000-07",101.2561,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2000-08",101.2412,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2000-09",101.1791,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2000-10",101.3349,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2000-11",101.4934,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2000-12",101.6472,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2001-01",101.7053,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2001-02",101.72,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2001-03",101.7294,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2001-04",101.693,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2001-05",101.6975,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2001-06",101.7447,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2001-07",101.6983,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2001-08",101.5001,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2001-09",101.3165,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2001-10",101.1578,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2001-11",101.2599,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2001-12",101.483,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2002-01",101.6225,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2002-02",101.6983,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2002-03",101.7493,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2002-04",101.7744,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2002-05",101.7142,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2002-06",101.6572,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2002-07",101.6857,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2002-08",101.7835,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2002-09",101.8903,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2002-10",101.8201,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2002-11",101.6013,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2002-12",101.1995,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2003-01",100.769,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2003-02",100.5098,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2003-03",100.5021,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2003-04",100.6354,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2003-05",100.6655,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2003-06",100.6929,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2003-07",100.7031,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2003-08",100.7046,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2003-09",100.7347,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2003-10",100.6932,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2003-11",100.659,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2003-12",100.6677,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2004-01",100.7124,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2004-02",100.7512,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2004-03",100.7791,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2004-04",100.689,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2004-05",100.5421,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2004-06",100.4428,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2004-07",100.4211,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2004-08",100.4164,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2004-09",100.4475,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2004-10",100.5682,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2004-11",100.7033,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2004-12",100.7769,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2005-01",100.8573,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2005-02",100.9517,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2005-03",100.9918,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2005-04",100.9216,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2005-05",100.8053,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2005-06",100.7331,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2005-07",100.7384,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2005-08",100.7218,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2005-09",100.6434,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2005-10",100.5236,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2005-11",100.4387,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2005-12",100.4254,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2006-01",100.4998,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2006-02",100.5387,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2006-03",100.5023,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2006-04",100.5279,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2006-05",100.5034,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2006-06",100.4712,
"GBR","CCI","AMPLITUD","LTRENDIDX","M","2006-07",100.4216,
