"Period","Sales volume","House price index"
2000-01,68031,37.08
2000-02,72364,37.28
2000-03,96354,37.97
2000-04,88707,39.26
2000-05,92309,39.61
2000-06,105431,40.06
2000-07,95400,40.7
2000-08,94346,41.16
2000-09,88148,41.21
2000-10,83099,41.04
2000-11,83309,41.19
2000-12,90823,41.5
2001-01,64870,41.59
2001-02,67134,41.53
2001-03,90226,42.02
2001-04,88556,43.1
2001-05,99478,43.74
2001-06,113447,44.36
2001-07,113200,45.07
2001-08,124849,46.01
2001-09,98296,46.18
2001-10,105633,46.42
2001-11,109149,46.87
2001-12,93329,47.32
2002-01,71678,47.43
2002-02,77131,47.66
2002-03,102828,48.78
2002-04,99638,49.96
2002-05,132163,51.49
2002-06,104285,52.65
2002-07,126475,54.23
2002-08,126360,55.62
2002-09,104054,56.16
2002-10,106125,57.12
2002-11,110850,58.51
2002-12,102070,59.15
2003-01,79926,59.95
2003-02,75657,60.02
2003-03,80112,60.76
2003-04,82897,62.23
2003-05,91813,63.25
2003-06,94507,63.77
2003-07,103522,65.23
2003-08,109995,66.01
2003-09,106682,65.98
2003-10,119798,66.99
2003-11,112141,67.62
2003-12,116105,68.51
2004-01,86697,68.88
2004-02,86512,69.15
2004-03,100342,70.28
2004-04,114092,72.59
2004-05,105117,74.0
2004-06,118877,75.68
2004-07,126778,77.26
2004-08,109199,78.26
2004-09,93996,78.5
2004-10,90273,78.56
2004-11,79540,79.04
2004-12,80888,78.82
2005-01,53464,78.17
2005-02,56044,78.19
2005-03,67322,78.7
2005-04,78958,79.53
2005-05,79951,80.38
2005-06,92080,80.88
2005-07,96925,81.71
2005-08,94592,82.05
2005-09,96191,81.91
2005-10,88571,81.65
2005-11,91445,81.98
2005-12,102289,82.44
2006-01,73019,82.1
2006-02,75775,82.27
2006-03,99396,82.82
2006-04,91305,84.36
2006-05,101080,85.13
2006-06,120679,85.89
2006-07,112469,86.84
2006-08,118684,87.55
2006-09,113761,87.88
2006-10,110764,88.2
2006-11,112690,88.59
2006-12,119458,89.73
2007-01,85121,89.63
2007-02,84374,89.91
2007-03,103039,90.56
2007-04,92543,92.04
2007-05,104937,93.08
2007-06,120076,94.07
2007-07,113560,95.32
2007-08,121246,95.8
2007-09,95771,96.01
2007-10,100053,95.98
2007-11,98151,95.88
2007-12,79311,95.82
2008-01,56189,94.53
2008-02,59992,93.7
2008-03,56066,93.0
2008-04,60459,93.23
2008-05,62969,93.55
2008-06,57038,92.36
2008-07,51095,91.61
2008-08,46910,89.47
2008-09,40222,87.37
2008-10,43079,85.41
2008-11,35029,82.93
2008-12,38540,81.73
2009-01,25782,80.19
2009-02,26660,79.35
2009-03,34857,78.55
2009-04,37585,79.22
2009-05,43500,80.22
2009-06,51058,81.11
2009-07,60332,82.66
2009-08,56038,83.61
2009-09,56068,84.4
2009-10,62974,84.94
2009-11,58583,85.19
2009-12,75376,85.84
2010-01,34383,86.0
2010-02,40718,86.39
2010-03,49166,86.15
2010-04,49802,87.15
2010-05,49793,87.63
2010-06,59887,88.07
2010-07,64635,88.99
2010-08,58984,89.13
2010-09,55114,88.85
2010-10,55948,87.8
2010-11,53689,86.91
2010-12,54383,86.78
2011-01,36005,85.99
2011-02,37892,85.68
2011-03,44568,85.3
2011-04,48605,86.51
2011-05,46851,86.1
2011-06,55226,86.19
2011-07,59692,87.33
2011-08,61631,87.42
2011-09,60860,87.15
2011-10,55412,86.35
2011-11,57594,86.37
2011-12,60991,86.18
2012-01,42125,85.86
2012-02,43023,85.85
2012-03,58990,85.93
2012-04,41395,87.03
2012-05,50413,87.27
2012-06,57212,88.09
2012-07,56838,88.61
2012-08,62396,88.8
2012-09,50670,88.52
2012-10,56410,87.95
2012-11,61010,88.07
2012-12,54054,87.95
2013-01,41530,87.16
2013-02,43191,87.35
2013-03,52099,87.84
2013-04,48744,88.68
2013-05,63360,89.04
2013-06,63222,89.76
2013-07,70536,90.84
2013-08,76183,91.51
2013-09,67217,91.73
2013-10,75111,91.37
2013-11,81041,91.82
2013-12,77833,92.95
2014-01,64587,92.81
2014-02,64181,93.34
2014-03,66594,93.68
2014-04,69314,95.76
2014-05,76211,96.7
2014-06,79628,97.58
2014-07,83160,99.0
2014-08,86320,100.27
2014-09,77547,100.39
2014-10,84927,100.22
2014-11,72004,99.93
2014-12,76741,100.24
2015-01,56362,100.0
2015-02,57669,100.28
2015-03,65281,100.25
2015-04,62391,101.52
2015-05,72232,102.67
2015-06,81857,103.46
2015-07,89783,105.26
2015-08,81957,106.36
2015-09,80192,106.65
2015-10,88132,106.81
2015-11,78861,107.71
2015-12,80366,108.25
2016-01,59992,108.63
2016-02,65124,108.76
2016-03,119302,109.76
2016-04,52590,110.32
2016-05,60179,111.59
2016-06,74259,112.61
2016-07,77919,113.81
2016-08,79655,113.96
2016-09,76114,113.8
2016-10,70825,113.35
2016-11,74097,113.9
2016-12,79605,114.33
2017-01,57498,114.17
2017-02,60662,114.71
2017-03,74386,114.25
2017-04,62318,115.86
2017-05,69176,116.7
2017-06,84327,117.62
2017-07,76993,119.0
2017-08,82670,119.61
2017-09,78082,119.32
2017-10,77047,119.3
2017-11,76788,118.85
2017-12,76522,119.48
2018-01,57138,118.83
2018-02,58494,119.29
2018-03,68184,118.52
2018-04,58939,119.49
2018-05,67590,120.01
2018-06,79056,120.76
2018-07,73910,122.25
2018-08,84466,122.56
2018-09,68839,122.38
2018-10,76864,122.13
2018-11,81610,121.73
2018-12,69841,121.46
2019-01,54134,120.6
2019-02,57222,120.57
2019-03,64940,119.93
2019-04,59710,120.81
2019-05,65387,120.9
2019-06,66723,121.34
2019-07,70681,122.53
2019-08,75079,122.96
2019-09,64605,123.21
2019-10,68677,122.93
2019-11,67814,122.51
2019-12,,123.44
2020-01,,121.94
